EAN;ART_NR;GROESSE;FARBE;BESTAND;PREIS;UVP
4059275080794;13936638;M;OLIV;5;15.25;29.25
4059275122364;26767121;L;MINZE;1;15.25;29.25
4251508342857;64937937;XL;GELB;1;15.25;29.25
4251325389370;64937940;S;GELB;1;15.25;25.25
4251508347067;64937955;M;MARINE;1;15.25;115.25
4251325354026;66707071;XS;WOLLWEIß;1;15.25;125.25
4251325367477;84937007;L;SONNENGELB;1;15.25;29.25
4059275099260;90500049;XL;SCHWARZ;1;15.25;25.25
4059275099192;92000002;M;ASCHEGRAU;1;15.25;115.25
4059275063452;92700009;S;OATMEAL MELANGE;1;15.25;125.25
8719301923988;M-FW18-SWH205;XL;LIGHT GREY MELEE;1;15.25;29.25
8719301738957;M-SS18-TSR654;L;DEEP NAVY;1;15.25;100.25
