p_id;p_nr;p_name;p_text;p_comp[zielgruppe];p_brand;a_id;a_nr;a_active;a_ean;a_prodnr;a_comp[farbe];a_comp[groesse];a_stock;a_media[image]{0};a_media[image]{1};a_media[image]{2};a_media[image]{3};a_media[image]{4};a_media[image]{5};p_comp[material]
28831;92700009;Pullover;Die kontrastfarbenen Print-?rmel mit Wow-Effekt bestimmen das Design dieses Rundhalspullovers fÅr Herren ma†geblich. So spiegeln sich diese nicht nur in der aufgesteppten Brusttasche wider, viel mehr wurde auf weitere effektvolle Details verzichtet, um den coolen und l?ssigen Charakter des Pullovers nichts in Frage zu stellen. In diesem Zusammenhang ist sowohl auf die formgebenden Saum- und ?rmelrippbÅndchen sowie auf den urbanen Rei†verschluss oberhalb der Brusttasche hinzuweisen. Genau deswegen sollte dieser Rundhalspullover auf keinen Fall in Ihrem Kleiderschrank fehlen.;Herren;TUFFSKULL;195063;4059275063452;1;4059275063452;927720;oatmeal melange;S;18;https://clientmedia.trade-server.net/1211_glago/media/7/22/219723.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/24/219725.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/26/219727.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/28/219729.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/30/219731.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/32/219733.jpg;65% Polyester, 35% Baumwolle
32911;M-SS18-TSR654;T-Shirt;L?ssiges Herrenshirt aus Baumwolle mit klassischem Rundhals. Der Logoprint ist im typischen Petrol-Stil - ein bisschen Used-Look - ein bisschen Retro-Style. Cool fÅr den Sommer! In vielen Farben erh?ltlich.;herren;Petrol Industries;228429;8719301738957;1;8719301738957;930804;Deep Navy;L;2;https://clientmedia.trade-server.net/1211_glago/media/2/96/296297.jpg;https://clientmedia.trade-server.net/1211_glago/media/2/94/296295.jpg;https://clientmedia.trade-server.net/1211_glago/media/2/98/296299.jpg;https://clientmedia.trade-server.net/1211_glago/media/3/00/296301.jpg;https://clientmedia.trade-server.net/1211_glago/media/3/02/296303.jpg;;100% Baumwolle
34165;M-FW18-SP-SWH205;Sweater;Locker und l?ssiges Sweatshirt mit Kapuze, K?ngurutasche und stylischem Vintage-Print. Die gravierten Kordel?sen und ein kleines Logo-Patch am Saum runden den Look ab. Die Qualit?t ist soft und hat eine weiche, angeraute Innenseite. Es hat einen geraden Schnitt und ist in vielen Farben erh?ltlich.;Herren;Petrol Industries MEN;243347;8719301923988;1;8719301923988;930826;Light Grey Melee;XL;12;https://clientmedia.trade-server.net/1211_glago/media/7/42/333743.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/44/333745.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/46/333747.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/48/333749.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/50/333751.jpg;;60% Baumwolle, 40% Polyester
30183;92000002;Parka;Im au†ergew?hnlichen Design pr?sentiert sich dieser Damen Parka! Er besitzt eine angesetzte Kapuze mit Tunnelzug und zwei seitliche Rei†verschlusstaschen. Der Parka wird mit einem 2-Wege-Rei†verschluss geschlossen. Er besitzt als Deko im Brustbereich mehrere N?hte mit kleinen L?chern, des Weiteren eine Rei†verschluss-Attrappe auf Taillenh?he am RÅcken. Elastische Eins?tze unter den Armen und an der Seite runden den Look ab.;Damen;Talence;205511;4059275099192;1;4059275099192;920720;aschegrau;M;31;https://clientmedia.trade-server.net/1211_glago/media/8/14/213815.jpg;https://clientmedia.trade-server.net/1211_glago/media/8/16/213817.jpg;https://clientmedia.trade-server.net/1211_glago/media/8/18/213819.jpg;https://clientmedia.trade-server.net/1211_glago/media/8/20/213821.jpg;https://clientmedia.trade-server.net/1211_glago/media/8/22/213823.jpg;https://clientmedia.trade-server.net/1211_glago/media/8/24/213825.jpg;"Oberstoff 1: 100% Polyamid; Oberstoff 2: 100% Polyester"
30181;90500049;Parka;Dieser au†ergew?hnliche Damen Parka besitzt eine angesetzte Kapuze mit Tunnelzug und zwei seitliche Rei†verschlusstaschen. Der Parka wird mit einem schr?gen 2-Wege-Rei†verschluss geschlossen. Das besondere Design zeigt sich bei den zus?tzlichen Deko-Elementen im Brustbereich, wie einem Rei†verschluss und mehreren N?hten mit kleinen L?chern. Des Weiteren besitzt er einen Gummizug auf Taillenh?he am RÅcken und KlettverschlÅsse an den ?rmelenden, um diese gegebenenfalls enger zu stellen. Elastische Eins?tze unter den Armen und an der Seite runden den Look ab.;Damen;Dry Laundry;205485;4059275099260;1;4059275099260;905720;schwarz;XL;1;https://clientmedia.trade-server.net/1211_glago/media/6/70/213671.jpg;https://clientmedia.trade-server.net/1211_glago/media/6/72/213673.jpg;https://clientmedia.trade-server.net/1211_glago/media/6/74/213675.jpg;https://clientmedia.trade-server.net/1211_glago/media/6/76/213677.jpg;https://clientmedia.trade-server.net/1211_glago/media/6/78/213679.jpg;https://clientmedia.trade-server.net/1211_glago/media/6/80/213681.jpg;"Oberstoff 1: 100% Polyamid; Oberstoff 2: 100% Polyester"
31795;84937007;Herren Parka mit herausnehmbarer Sweatjacke;Schicke, wasserabweisende Herren-Regenjacke, die bei Wind und Wetter h?lt, was sie verspricht. Das flauschige, w?rmende Innenfutter aus Sweatware ist herausnehmbar, so dass der Parka bei jeder Witterung voll einsetzbar ist. Praktisch: das Innenfutter ist gleichzeitig eine Sweatshirtjacke mit Seitentaschen und Logostick und kann ebenfalls als eigenst?ndige Jacke getragen werden. Eine Jacke - drei Tragevarianten.;Herren;Schmuddelwedda;216655;4251325367477;1;4251325367477;8746;sonnengelb;L;2;https://clientmedia.trade-server.net/1211_glago/media/9/54/289955.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/56/289957.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/58/289959.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/60/289961.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/62/289963.jpg;;100% Polyester
33661;64937955;3 in 1 Anorak;Ein Spaziergang im Regen kann so sch?n sein, vorausgesetzt die Kleidung stimmt. Dieser Regenanorak ist da genau das Richtige. Das Material ist beschichtet und mit den verschwei†ten N?hten, bietet er Schutz vor Wind und Wetter. Das Innenfutter ist eine Fleecejacke, die auch separat getragen werden kann. Das ist nicht nur praktisch sondern zaubert aus einer Jacke drei Jacken. Die Kapuze kann mit den Logo-Stoppern justiert werden, ebenso kann die Taille mit Druckkn?pfen verengt werden. Die gro†en aufgesetzten Taschen bieten viel Platz, aufwendige Logodetails und der charmante Regenschirmprint auf der Brust, unterstreichen den Look.;Damen;Schmuddelwedda;240327;4251508347067;1;4251508347067;6826;marine;M;26;https://clientmedia.trade-server.net/1211_glago/media/0/76/306077.jpg;https://clientmedia.trade-server.net/1211_glago/media/0/74/306075.jpg;https://clientmedia.trade-server.net/1211_glago/media/0/78/306079.jpg;https://clientmedia.trade-server.net/1211_glago/media/0/80/306081.jpg;https://clientmedia.trade-server.net/1211_glago/media/0/82/306083.jpg;;100% Polyester
33101;64937940;Parka;Sie wÅnschen sich einen Regenparka, der wind- und wetterfest ist und zudem noch gut aussieht? Voil?, hier ist er. Dieser l?ssig geschnittene Damen-Parka, ist geschmÅckt mit vielen liebevollen Logodetails und einer schicken Taillenkordel. Das bedruckte Jersey-Innenfutter verleiht ein angenehmes TragegefÅhl, die ?rmelabschlÅsse sind verstellbar und der kleine Regenschirmprint auf Brusth?he rundet das Design ab.;Damen;Schmuddelwedda;231425;4251325389370;1;4251325389370;6826;gelb;S;7;https://clientmedia.trade-server.net/1211_glago/media/9/84/305985.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/88/305989.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/86/305987.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/90/305991.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/92/305993.jpg;;100% Polyester
33099;62538098;Mantel;Dieser Mantel hat alles, was das Herz begehrt. Er sieht toll aus, die hochwertige Maschenware ist kuschelig warm und er ist liebevoll ausgestattet mit vielen kleinen Logodetails. Die Kapuze ist in den Stehkragen integrierbar und mit der Taillenkordel kann der Mantel, auf Wunsch, auch taillenbetonter getragen werden. Das Innenfutter ist flauschig und besonders angenehm zu tragen. Die Taschen sind mit Druckkn?pfen versehen und ein niedlicher Regenschirmstick auf Brusth?he rundet den Style ab.;Damen;Schmuddelwedda;231233;4251508338218;1;4251508342857;6833;rauchblau melange;XS;19;https://clientmedia.trade-server.net/1211_glago/media/9/74/305975.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/76/305977.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/78/305979.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/80/305981.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/82/305983.jpg;;100% Polyester
30419;26767121;Hoodie;Dieser Damen Hoodie wird zum perfekten Basic! Ausgestattet ist er mit einer angesetzten Kapuze samt Tunnelzug. Er besitzt eine praktische K?ngurutasche und einen Stehkragen mit auff?lliger SchnÅrung. Zudem garantieren die formgebenden ?rmel- und SaumrippbÅndchen sowie die weiche Innenseite ein angenehmes TragegefÅhl. Die praktischen Daumenl?cher der ?rmelrippbÅndchen und die Logogravur auf den Details runden den Look ab.;Damen;myMO;207969;4059275122364;1;4059275122364;2730;minze;L;22;https://clientmedia.trade-server.net/1211_glago/media/4/10/220411.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/12/220413.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/14/220415.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/16/220417.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/18/220419.jpg;;65% Polyester, 35% Baumwolle
