p_id;p_nr;p_name;p_text;p_comp[zielgruppe];p_brand;a_id;a_nr;a_active;a_ean;a_prodnr;a_comp[farbe];a_comp[groesse];a_stock;a_media[image]{0};a_media[image]{1};a_media[image]{2};a_media[image]{3};a_media[image]{4};a_media[image]{5};p_comp[material]
8867;30151533;Kleid;M„dels Kleid in dickem Jersey Stoff;Damen;DreiMaster;74467;4055179121649;1;4055179121649;3327;grau melange;XS;0;;;;;;;100% Baumwolle
8867;30151533;Kleid;M„dels Kleid in dickem Jersey Stoff;Damen;DreiMaster;74469;4055179121656;1;4055179121656;3327;grau melange;S;3;;;;;;;100% Baumwolle
8867;30151533;Kleid;M„dels Kleid in dickem Jersey Stoff;Damen;DreiMaster;74471;4055179121663;1;4055179121663;3327;grau melange;M;0;;;;;;;100% Baumwolle
8867;30151533;Kleid;M„dels Kleid in dickem Jersey Stoff;Damen;DreiMaster;74473;4055179121670;1;4055179121670;3327;grau melange;L;0;;;;;;;100% Baumwolle
8867;30151533;Kleid;M„dels Kleid in dickem Jersey Stoff;Damen;DreiMaster;74475;4055179121687;1;4055179121687;3327;grau melange;XL;0;;;;;;;100% Baumwolle
8867;30151533;Kleid;M„dels Kleid in dickem Jersey Stoff;Damen;DreiMaster;74477;4055179121595;1;4055179121595;3327;blau melange;XS;0;;;;;;;100% Baumwolle
8867;30151533;Kleid;M„dels Kleid in dickem Jersey Stoff;Damen;DreiMaster;74479;4055179121601;1;4055179121601;3327;blau melange;S;3;;;;;;;100% Baumwolle
8867;30151533;Kleid;M„dels Kleid in dickem Jersey Stoff;Damen;DreiMaster;74481;4055179121618;1;4055179121618;3327;blau melange;M;0;;;;;;;100% Baumwolle
8867;30151533;Kleid;M„dels Kleid in dickem Jersey Stoff;Damen;DreiMaster;74483;4055179121625;1;4055179121625;3327;blau melange;L;0;;;;;;;100% Baumwolle
8867;30151533;Kleid;M„dels Kleid in dickem Jersey Stoff;Damen;DreiMaster;74485;4055179121632;1;4055179121632;3327;blau melange;XL;0;;;;;;;100% Baumwolle
8867;30151533;Kleid;M„dels Kleid in dickem Jersey Stoff;Damen;DreiMaster;74487;4055179123490;1;4055179123490;3327;wollweiss melange;XS;0;;;;;;;100% Baumwolle
8867;30151533;Kleid;M„dels Kleid in dickem Jersey Stoff;Damen;DreiMaster;74489;4055179123506;1;4055179123506;3327;wollweiss melange;S;2;;;;;;;100% Baumwolle
8867;30151533;Kleid;M„dels Kleid in dickem Jersey Stoff;Damen;DreiMaster;74491;4055179123513;1;4055179123513;3327;wollweiss melange;M;0;;;;;;;100% Baumwolle
8867;30151533;Kleid;M„dels Kleid in dickem Jersey Stoff;Damen;DreiMaster;74493;4055179123520;1;4055179123520;3327;wollweiss melange;L;0;;;;;;;100% Baumwolle
8867;30151533;Kleid;M„dels Kleid in dickem Jersey Stoff;Damen;DreiMaster;74495;4055179123537;1;4055179123537;3327;wollweiss melange;XL;0;;;;;;;100% Baumwolle
8879;36630910;Anorak;Kurz geschnittener Anorak aus l„ssig gewaschenem Baumwoll-Material. Detailreich verarbeitet wird diese Jacke zum Allroundtalent.;Herren;DreiMaster;74517;4250713709394;1;4250713709394;3227;oliv;S;0;https://clientmedia.trade-server.net/1211_glago/media/8/06/54807.jpg;https://clientmedia.trade-server.net/1211_glago/media/8/08/54809.jpg;https://clientmedia.trade-server.net/1211_glago/media/8/10/54811.jpg;https://clientmedia.trade-server.net/1211_glago/media/8/12/54813.jpg;https://clientmedia.trade-server.net/1211_glago/media/8/14/54815.jpg;;100% Baumwolle
8879;36630910;Anorak;Kurz geschnittener Anorak aus l„ssig gewaschenem Baumwoll-Material. Detailreich verarbeitet wird diese Jacke zum Allroundtalent.;Herren;DreiMaster;74519;4250713709400;1;4250713709400;3227;oliv;M;0;https://clientmedia.trade-server.net/1211_glago/media/8/06/54807.jpg;https://clientmedia.trade-server.net/1211_glago/media/8/08/54809.jpg;https://clientmedia.trade-server.net/1211_glago/media/8/10/54811.jpg;https://clientmedia.trade-server.net/1211_glago/media/8/12/54813.jpg;https://clientmedia.trade-server.net/1211_glago/media/8/14/54815.jpg;;100% Baumwolle
